PI (%),H (m),γ (kN/m³),Vs (m/s),αgR (g),PGA (g),PGD (cm)
15,75,24,558,1,0.61,31.84
19,40,23,450,0.3,0.44,14.88
38,84,19,354,0.6,0.34,114.46
28,26,13,150,0.6,0.22,134.36
31,54,17,194,0.2,0.2,0.43
2,20,22,362,0.55,0.84,18.18
49,19,23,408,0.35,0.53,21.02
46,84,14,629,0.3,0.34,14.97
38,57,24,286,0.4,0.39,6.78
33,85,20,303,0.1,0.11,0.25
12,30,13,541,0.3,0.38,14.9
6,97,20,346,0.8,0.26,27.41
15,18,24,283,0.25,0.49,5.3
58,13,19,640,0.55,0.81,17.88
17,33,23,364,0.75,0.71,119.33
26,79,19,371,0.9,0.37,34.88
15,10,12,195,0.65,0.6,103.1
18,76,23,308,0.05,0.05,0.13
52,23,18,547,0.05,0.08,0.18
20,44,24,214,0.45,0.28,17.51
25,46,17,526,0.75,0.7,118
53,76,16,441,0.35,0.42,23.63
15,35,23,538,0.75,0.74,117.85
15,38,20,162,0.7,0.15,168.63
1,31,20,550,1,0.97,33.96
41,32,16,260,0.55,0.54,19.84
9,28,12,450,0.5,0.93,16.68
14,55,13,212,0.1,0.13,0.29
60,47,21,198,0.9,0.28,35.46
30,11,15,315,0.45,0.74,5.5
18,51,19,428,0.65,0.56,108.31
22,84,18,461,0.4,0.42,6.47
24,80,22,214,0.4,0.21,22.48
44,43,18,605,0.4,0.68,5.22
4,34,19,207,0.1,0.11,0.23
39,82,21,615,0.05,0.06,0.19
27,51,18,588,0.4,0.66,6.01
36,60,17,445,0.2,0.23,0.41
35,45,20,621,0.05,0.08,0.19
47,37,20,461,0.55,0.92,18.38
55,15,18,149,0.95,0.49,37.18
23,53,16,398,0.95,0.57,35.63
37,49,23,312,0.3,0.35,14.69
55,47,21,644,0.5,0.71,16.44
18,14,14,273,0.6,0.63,94.78
42,11,20,221,0.55,1.02,18.46
3,23,13,320,0.05,0.12,0.29
49,53,22,552,0.2,0.22,0.39
51,23,15,559,0.4,0.55,4.82
40,24,13,147,0.65,0.26,137.19
30,49,24,351,0.6,0.42,102.02
48,53,14,631,0.1,0.15,0.24
15,53,20,355,0.9,0.41,33.47
20,63,22,186,0.35,0.11,25.62
25,88,21,564,0.85,0.55,27.86
13,58,23,271,0.7,0.21,157.01
41,96,18,156,0.05,0.06,0.19
44,86,15,605,0.5,0.57,16.08
6,85,22,414,0.05,0.07,0.15
39,42,16,396,0.85,0.73,27.81
13,39,21,570,0.2,0.29,0.41
29,81,20,395,0.25,0.34,6.99
14,46,13,225,0.45,0.27,24.5
50,59,16,243,0.5,0.39,22.83
3,60,24,220,0.2,0.17,0.37
50,69,18,370,0.15,0.19,1.02
40,26,16,133,0.2,0.21,0.32
23,73,17,361,0.8,0.43,26.45
1,63,19,267,0.75,0.16,177.25
42,94,21,109,0.9,0.08,35.81
52,36,22,227,0.45,0.3,10.18
45,65,20,509,0.2,0.23,0.37
14,27,20,336,0.7,0.68,110.03
60,74,22,322,0.55,0.55,23.28
51,67,15,583,0.3,0.4,14.97
9,72,18,473,0.7,0.49,124.59
6,75,14,242,0.25,0.14,9.54
12,82,12,347,0.6,0.24,129.74
10,13,15,269,0.9,0.79,31.34
24,65,22,337,1,0.36,38.3
20,72,13,287,0.95,0.25,39.48
35,16,17,356,0.55,1.1,18.28
56,69,13,136,0.45,0.13,15.58
23,57,20,610,0.35,0.41,21.32
52,56,23,175,0.2,0.19,0.39
56,29,19,386,0.6,0.71,94.5
51,13,14,339,0.95,1.39,31.86
46,47,18,616,0.4,0.67,5.36
53,31,21,191,0.5,0.47,20.53
30,25,12,505,0.8,0.98,26.11
16,85,20,607,0.05,0.06,0.2
9,83,21,367,0.15,0.17,0.97
4,90,15,235,0.65,0.09,151.74
59,65,15,637,0.3,0.47,15.01
35,28,14,440,0.35,0.56,21.14
22,18,14,508,0.65,0.91,102.63
26,96,21,402,0.55,0.46,23.25
47,74,17,455,0.85,0.59,27.93
14,43,14,146,0.95,0.14,52.29
20,22,23,248,0.9,0.57,32.96
44,99,19,620,0.7,0.61,114.26
58,49,22,259,0.45,0.32,11.94
18,58,15,281,0.2,0.23,0.31
5,37,21,579,0.15,0.19,0.75
14,98,14,492,0.4,0.41,6.24
38,47,13,457,1,0.78,33.85
41,44,14,232,0.45,0.29,11.41
2,21,23,130,0.15,0.14,1.15
3,83,21,175,1,0.1,53.02
50,23,15,154,0.7,0.33,136.13
37,61,24,284,0.85,0.44,28.24
33,84,19,471,0.65,0.51,114.23
9,75,16,488,1,0.47,36.74
18,43,20,649,0.5,0.75,16.48
48,64,20,181,0.35,0.13,26.67
46,11,14,471,0.2,0.43,0.34
41,19,16,316,0.15,0.3,0.83
53,69,23,591,0.5,0.59,16.4
58,87,18,143,0.9,0.14,57.51
56,87,16,235,0.9,0.24,36.51
51,19,18,628,0.55,0.85,17.96
36,92,19,426,0.65,0.43,120.11
20,11,19,121,0.05,0.13,0.4
59,12,15,160,0.45,0.72,6.85
12,30,18,137,0.6,0.14,147.09
31,74,21,333,0.05,0.08,0.14
5,95,14,201,0.55,0.13,21.92
17,12,21,548,0.45,0.5,5.41
31,63,20,391,0.85,0.52,27.94
5,89,18,383,0.75,0.23,168.64
4,91,21,102,0.65,0.03,61.21
37,61,13,480,0.15,0.22,0.95
43,69,16,462,0.85,0.58,27.91
46,17,16,417,0.15,0.33,0.71
14,71,13,506,0.65,0.47,111.91
21,42,19,204,0.35,0.17,27.18
4,87,23,647,0.5,0.45,16.27
42,32,16,380,0.3,0.57,14.84
27,30,19,437,0.15,0.21,0.81
12,81,15,532,0.35,0.35,23.16
49,86,20,276,0.95,0.28,39.33
28,94,21,578,0.5,0.47,16.43
16,76,14,475,0.5,0.55,18.04
39,92,21,359,0.95,0.36,36.74
24,93,12,557,0.25,0.34,6.7
8,71,17,245,0.25,0.15,10.54
13,89,23,376,0.55,0.36,23.31
55,80,12,514,0.4,0.53,7.42
23,17,14,434,0.8,1.06,26.1
27,35,14,261,0.15,0.26,0.99
40,64,24,466,0.55,0.55,17.84
12,54,13,300,0.8,0.37,26.43
1,90,16,451,0.35,0.26,25.49
49,12,20,534,0.7,0.88,109.21
44,55,22,344,0.6,0.46,104.26
38,24,12,635,0.4,0.57,4.82
28,88,14,107,0.45,0.07,6.53
48,53,19,361,0.95,0.63,35.15
44,31,13,510,1,1.41,34.67
22,35,22,530,0.85,0.9,27.76
13,92,21,536,0.3,0.33,14.82
19,19,13,249,0.95,0.66,35.01
10,51,15,588,0.75,0.72,118.13
36,57,22,314,0.15,0.18,1
58,39,18,400,0.8,0.88,26.14
12,25,14,177,0.25,0.22,7.62
13,52,18,634,0.45,0.65,5.85
45,66,20,263,0.5,0.38,22.39
45,17,19,633,0.25,0.32,4.73
2,73,16,205,0.55,0.14,26.42
47,93,14,432,0.65,0.49,120.93
7,45,21,334,0.3,0.3,14.5
34,20,19,188,0.75,0.48,138.07
31,27,21,572,0.7,0.84,109.47
49,15,20,574,0.35,0.55,20.9
13,87,15,417,0.75,0.33,149.01
40,37,17,302,0.6,0.53,100.93
9,77,17,203,0.85,0.11,32.91
8,19,18,625,0.05,0.07,0.15
9,26,22,238,0.2,0.22,0.46
30,31,24,636,0.45,0.49,5.49
1,99,16,145,0.95,0.06,31.33
53,65,21,216,0.75,0.21,175.82
13,47,12,567,0.35,0.55,21.29
26,68,17,165,0.25,0.12,17.69
52,42,23,561,0.8,0.81,26.05
17,78,14,595,0.75,0.64,124.78
27,59,18,438,0.1,0.15,0.25
59,38,22,437,0.7,0.67,109.3
23,12,21,313,0.8,0.96,26.1
57,32,24,209,0.5,0.53,18.68
50,18,13,139,0.75,0.37,145.02
25,91,18,546,0.6,0.45,102.06
56,20,19,555,0.1,0.12,0.17
32,17,13,125,0.7,0.28,145.09
11,45,13,117,0.8,0.07,29.26
7,82,19,521,0.5,0.49,17.3
25,38,22,193,0.15,0.18,1.15
52,55,13,299,0.15,0.2,1.18
40,36,19,208,0.75,0.32,150.41
6,95,14,626,0.5,0.49,16.98
32,21,17,630,0.25,0.35,4.75
39,45,13,597,0.15,0.23,0.84
41,67,17,217,0.7,0.18,165.97
34,64,21,256,0.65,0.25,142.21
4,72,20,252,0.1,0.09,0.25
1,28,23,296,1,0.39,37
48,69,17,325,0.2,0.23,0.3
21,88,14,423,0.4,0.42,7.22
10,20,13,112,0.05,0.08,0.21
21,76,22,330,1,0.28,38.92
